URL, number of outlinks
http://help.gmarket.co.kr/Tcs/NoticeCore/NoticeDetail?Kind=C&SeqNo=22113, 8
https://rpp.gmarket.co.kr/?exhib=39240#kf, 78
http://minishop.gmarket.co.kr/cmcr, 60
http://corners.gmarket.co.kr/Bestsellers, 299
http://item.gmarket.co.kr/Item?goodsCode=2156841315, 34
https://rpp.gmarket.co.kr/?exhib=37568, 11
http://member2.gmarket.co.kr/CustomerCenter/NoticeMain, 172
https://rpp.gmarket.co.kr/?exhib=49970, 64
http://category.gmarket.co.kr/listview/L100000035.aspx, 264
http://category.gmarket.co.kr/listview/L100000085.aspx, 437
http://item.gmarket.co.kr/Item?goodsCode=2152807353, 73
https://rpp.gmarket.co.kr/?exhib=52751, 5
http://category.gmarket.co.kr/listview/L100000002.aspx, 157
http://item.gmarket.co.kr/Item?goodsCode=2266330644, 67
https://help.gmarket.co.kr/tcs/Main, 15
http://item.gmarket.co.kr/Item?goodsCode=1873915628, 66
http://corners.gmarket.co.kr/Bestsellers?ItemId=1776459341#1776459341, 299
http://rpp.gmarket.co.kr/?exhib=48368, 27
http://global.gmarket.co.kr/Home/GlobalGate?nation=EN&nexturl=http://global.gmarket.co.kr/Home/Main&jaehuid=200007636, 0
http://category.gmarket.co.kr/listview/L100000097.aspx, 334
https://www.gmarket.co.kr/#lottemart, 348
http://item.gmarket.co.kr/Item?goodsCode=2304712182, 80
http://help.gmarket.co.kr/Tcs/NoticeCore, 7
http://item.gmarket.co.kr/Item?goodsCode=2153208886, 34
http://corners.gmarket.co.kr/ExpressShop/Home?SellerId=lottemartm, 105
http://corners.gmarket.co.kr/Bestsellers?ItemId=2363338674#2363338674, 299
http://minishop.gmarket.co.kr/hnstvc, 82
https://rpp.gmarket.co.kr/?exhib=52928, 151
http://promotion.gmarket.co.kr/planview/plan.asp?sid=151015, 0
http://bizon.gmarket.co.kr, 8
http://corners.gmarket.co.kr/Bestsellers?ItemId=2357918771#2357918771, 299
http://corners.gmarket.co.kr/ExpressShop, 138
http://item.gmarket.co.kr/Item?goodsCode=2359198113, 78
http://item.gmarket.co.kr/Item?goodsCode=2234315281, 68
http://rpp.gmarket.co.kr/?exhib=43372, 22
http://gmc.gmarket.co.kr/, 7
listview/L100000075.aspx, 174
http://corners.gmarket.co.kr/SmileDelivery, 309
http://minishop.gmarket.co.kr/gsmyshop, 83
http://corners.gmarket.co.kr/Bestsellers?ItemId=2345808336#2345808336, 299
https://rpp.gmarket.co.kr/?exhib=52819, 57
https://rpp.gmarket.co.kr/?exhib=52367, 569
http://minishop.gmarket.co.kr/hejmini, 44
http://corners.gmarket.co.kr/Bestsellers?ItemId=2190890368#2190890368, 299
http://item.gmarket.co.kr/Item?goodsCode=1486654435, 75
http://category.gmarket.co.kr/listview/L100000082.aspx, 205
http://item.gmarket.co.kr/Item?goodsCode=1915105051, 72
http://item.gmarket.co.kr/Item?goodsCode=2153553334, 74
http://corners.gmarket.co.kr/smiledelivery, 305
http://minishop.gmarket.co.kr/ssgtv, 92
http://category.gmarket.co.kr/listview/L100000020.aspx, 593
https://www.gmarket.co.kr/#skip-navigation-search, 349
https://www.gmarket.co.kr/#lotte, 347
http://corners.gmarket.co.kr/SmileDelivery/Best, 247
https://rpp.gmarket.co.kr/?exhib=44411, 84
http://corners.gmarket.co.kr/Bestsellers?ItemId=1498699891#1498699891, 299
https://rpp.gmarket.co.kr/?exhib=52371, 196
http://corners.gmarket.co.kr/Bestsellers?ItemId=2334084572#2334084572, 299
https://rpp.gmarket.co.kr/?exhib=20634, 38
http://corners.gmarket.co.kr/Bestsellers?ItemId=2230773485#2230773485, 299
http://corners.gmarket.co.kr/Bestsellers?ItemId=1617175326#1617175326, 299
http://corners.gmarket.co.kr/Bestsellers?ItemId=1157707109#1157707109, 299
http://item.gmarket.co.kr/Item?goodsCode=1545136875, 61
http://www.gmarket.co.kr/challenge/neo_include/login/redirect_gateway.asp?site=G9&redir=http://www.g9.co.kr/Display/HotDeal?jaehuid=200007715, 0
http://www.gmarket.co.kr/challenge/neo_include/login/redirect_gateway.asp?site=G9&redir=http://www.g9.co.kr/Display/LifeStyle/2000006049, 0
http://category.gmarket.co.kr/listview/L100000043.aspx, 225
http://category.gmarket.co.kr/listview/L100000094.aspx, 285
http://minishop.gmarket.co.kr/cjosplus, 91
https://www.gmarket.co.kr/gmap/vero_main.asp, 0
http://category.gmarket.co.kr/listview/L100000049.aspx, 363
http://category.gmarket.co.kr/listview/L100000030.aspx, 529
http://corners.gmarket.co.kr/Bestsellers?ItemId=2354818851#2354818851, 300
http://item.gmarket.co.kr/Item?goodsCode=1482727031, 34
http://item.gmarket.co.kr/Item?goodsCode=1899276489, 80
http://minishop.gmarket.co.kr/Gfresh9, 46
http://corners.gmarket.co.kr/Bestsellers?ItemId=2344217510#2344217510, 299
http://corners.gmarket.co.kr/Bestsellers?ItemId=2258385439#2258385439, 299
https://rpp.gmarket.co.kr/?exhib=48252, 83
http://category.gmarket.co.kr/listview/L100000056.aspx, 280
http://category.gmarket.co.kr/listview/L100000006.aspx, 480
http://item.gmarket.co.kr/Item?goodsCode=2119499642, 62
http://item.gmarket.co.kr/Item?goodsCode=1812504459, 70
http://item.gmarket.co.kr/Item?goodsCode=2334989844, 65
http://item.gmarket.co.kr/Item?goodsCode=1651273917, 80
http://category.gmarket.co.kr/listview/L100000111.aspx, 105
http://category.gmarket.co.kr/listview/L100000064.aspx, 425
http://category.gmarket.co.kr/listview/L100000008.aspx, 346
https://www.gmarket.co.kr/#homeplus, 347
http://corners.gmarket.co.kr/Bestsellers?ItemId=2363349834#2363349834, 299
https://rpp.gmarket.co.kr/?exhib=37288, 7
http://item.gmarket.co.kr/Item?goodsCode=1482602397, 72
http://corners.gmarket.co.kr/Bestsellers?ItemId=2113168010#2113168010, 303
http://category.gmarket.co.kr/listview/L100000071.aspx, 255
http://corners.gmarket.co.kr/Bestsellers?ItemId=2362794707#2362794707, 299
http://minishop.gmarket.co.kr/hdepart01, 108
http://category.gmarket.co.kr/listview/L100000058.aspx, 280
http://item.gmarket.co.kr/Item?goodsCode=2146390912, 67
https://rpp.gmarket.co.kr/?exhib=52792, 202
http://category.gmarket.co.kr/listview/L100000076.aspx, 507
http://corners.gmarket.co.kr/Bestsellers?ItemId=2091431628#2091431628, 300
http://corners.gmarket.co.kr/Bestsellers?ItemId=1954465467#1954465467, 299
http://item.gmarket.co.kr/Item?goodsCode=1915075492, 72
http://corners.gmarket.co.kr/Bestsellers?ItemId=2051287647#2051287647, 299
https://rpp.gmarket.co.kr/rice, 81
http://category.gmarket.co.kr/listview/L100000105.aspx, 180
http://category.gmarket.co.kr/listview/L100000046.aspx, 358
http://corners.gmarket.co.kr/Bestsellers?ItemId=1577525154#1577525154, 299
https://www.gmarket.co.kr/#desktop_layout-header, 348
http://minishop.gmarket.co.kr/gsshoplive, 93
http://category.gmarket.co.kr/listview/L100000028.aspx, 659
http://rpp.gmarket.co.kr/homeshopping, 245
http://item.gmarket.co.kr/Item?goodsCode=1577525154, 65
http://item.gmarket.co.kr/Item?goodsCode=1174690516, 68
http://corners.gmarket.co.kr/Bestsellers?ItemId=2170768192#2170768192, 299
http://corners.gmarket.co.kr/Bestsellers?ItemId=2359761736#2359761736, 299
http://item.gmarket.co.kr/Item?goodsCode=2030091232, 68
http://item.gmarket.co.kr/Item?goodsCode=1273999192, 74
https://rpp.gmarket.co.kr/?exhib=43531, 180
http://corners.gmarket.co.kr/Bestsellers?ItemId=1703168286#1703168286, 300
http://item.gmarket.co.kr/Item?goodsCode=2356679407, 75
http://member2.gmarket.co.kr/TermsPolicy/FinanceTermsPolicy, 5
http://category.gmarket.co.kr/listview/L100000041.aspx, 249
https://rpp.gmarket.co.kr/?exhib=18596, 138
http://corners.gmarket.co.kr/Bestsellers?ItemId=962002144#962002144, 300
https://rpp.gmarket.co.kr/megabox, 8
http://corners.gmarket.co.kr/Bestsellers?ItemId=1604479096#1604479096, 299
http://item.gmarket.co.kr/Item?goodsCode=2190890368, 60
http://item.gmarket.co.kr/Item?goodsCode=2153263865, 73
http://www.gmarket.co.kr/securitycenter/sc_main.asp, 0
http://www.gmarket.co.kr/challenge/neo_include/login/redirect_gateway.asp?site=G9&redir=http://www.g9.co.kr?jaehuid=200007715, 0
http://category.gmarket.co.kr/listview/L100000102.aspx, 251
