URL, number of outlinks
https://www.tudn.com/futbol/mls/houston-dynamo-fc, 75
https://www.tudn.com/futbol/jugadores/maxine-chanot, 59
https://www.tudn.com/futbol/uefa-champions-league/desastre-en-paris-se-abre-la-barrera-y-mahrez-hace-el-1-2-del-city-video, 70
https://www.tudn.com/futbol/copa-oro/team-usa-aprovecha-error-arquero-jamaica-avanza-semifinales-copa-oro-2021-fotos, 107
https://www.tudn.com/futbol/liga-mx/liga-mx-en-360º-remontada-necaxa-aplica-voltereta-a-cruz-azul-video, 67
https://www.tudn.com/futbol/uefa-champions-league/ten-hag-lamenta-la-falla-de-edson-ante-el-benfica-video, 70
https://www.tudn.com/futbol/uefa-champions-league/fin-del-partido-video-130, 71
https://www.tudn.com/futbol/liga-mx/club-tijuana-vs-atlas-liga-mx-clausura-2022-02-25, 55
https://www.tudn.com/futbol/mexico/chuiquimarco-y-el-penal-a-lainez-quien-hable-de-robo-no-conoce-las-reglas-video, 68
https://www.tudn.com/futbol/uefa-nations-league, 84
https://www.tudn.com/futbol/liga-campeones-concacaf/pero-que-necesidad-breza-hace-fuerte-entrada-y-ocejo-lo-encara-video, 70
https://www.tudn.com/futbol/liga-mx/america-presenta-nuevo-autobus-estadio-azteca-clausura-2022, 64
https://www.tudn.com/futbol/uefa-champions-league/seguimiento-a-edson-alvarez-disparo-al-poste-y-a-nada-de-cometer-penalti-video, 69
https://www.tudn.com/futbol/javier-chicharito-hernandez-sigue-encendido-anota-d-c-united-la-galaxy, 69
https://www.tudn.com/temas/mundial-qatar-2022, 101
https://www.tudn.com/futbol/mexico/monica-vergara-da-lista-del-tri-para-eliminatorias-del-mundial-femenil-video, 68
https://www.tudn.com/futbol/liga-campeones-concacaf/nyfc-golea-en-casa-a-los-santos-guapiles-y-acceden-a-los-cuartos-de-final-fotos, 96
https://www.tudn.com/futbol/liga-mx/liga-mx-en-360º-chivas-y-america-dan-clasico-de-alarido-y-solo-falto-el-gol-video, 67
https://www.tudn.com/futbol/liga-mx/andres-guardado-no-tiene-cabida-en-atlas-por-el-momento-video, 67
https://www.tudn.com/futbol/liga-campeones-concacaf/aaron-cruz-salva-de-milagro-detiene-sobre-la-linea-el-remate-de-diogo-video, 68
https://www.tudn.com/futbol/liga-mx/por-que-javier-aguirre-no-ha-podido-despegar-con-rayados-video, 67
https://www.tudn.com/futbol/liga-mx/bajas-importantes-lesiones-en-pumas-previo-a-jugar-ante-america-video, 67
https://www.tudn.com/futbol/liga-mx/liga-mx-en-360º-con-golazo-de-thauvin-tigres-devoro-a-queretaro-video, 67
https://www.tudn.com/futbol/liga-mx/semana-grande-para-pumas-saprissa-y-america-visitan-cu-video, 67
https://www.tudn.com/futbol/liga-mx/de-lujo-america-presenta-su-nuevo-autobus-con-frase-motivacional-video, 67
https://www.tudn.com/futbol/premier-league/manchester-united, 74
https://www.tudn.com/futbol/mexico/rafa-marquez-revela-su-derrota-mas-dolorosa-fue-ante-estados-unidos-video, 68
https://www.tudn.com/mas-deportes/clausuran-juegos-olimpicos-de-invierno-2022-beijing-2022-china-medallero, 62
https://www.tudn.com/futbol/liga-campeones-concacaf/gol-anota-para-comunicaciones-nicolas-samayoa-video, 68
https://www.tudn.com/futbol/uefa-europa-league/napoli-vs-barcelona-que-necesitan-para-avanzar-en-la-europa-league-video, 71
